second,x,y
390.51999999999975,492,1037
390.5600000000002,493,1040
390.60000000000014,493,1042
390.6400000000001,493,1043
390.68000000000006,493,1045
390.72,493,1046
390.76,493,1047
390.79999999999995,493,1048
390.8399999999999,492,1050
390.8799999999999,492,1052
390.91999999999985,491,1054
390.9599999999998,492,1055
390.9999999999998,492,1056
391.03999999999974,491,1057
391.08000000000015,492,1058
391.1200000000001,492,1059
391.1600000000001,493,1059
391.20000000000005,494,1059
391.24,496,1060
391.28,499,1060
391.31999999999994,501,1060
391.3599999999999,504,1060
391.39999999999986,506,1060
391.4399999999998,510,1061
391.4799999999998,512,1062
391.51999999999975,514,1062
391.5600000000002,516,1063
391.60000000000014,518,1064
391.6400000000001,519,1063
391.68000000000006,521,1062
391.72,526,1062
391.76,529,1061
391.79999999999995,532,1060
391.8399999999999,535,1060
391.8799999999999,536,1059
391.91999999999985,535,1059
391.9599999999998,535,1060
391.9999999999998,535,1061
392.03999999999974,535,1061
392.08000000000015,535,1061
392.1200000000001,535,1061
392.1600000000001,535,1061
392.20000000000005,535,1061
392.24,535,1062
392.28,536,1062
392.31999999999994,538,1063
392.3599999999999,542,1064
392.39999999999986,545,1063
392.4399999999998,548,1062
392.4799999999998,549,1062
392.51999999999975,549,1062
392.5600000000002,550,1063
392.60000000000014,549,1063
392.6400000000001,550,1063
392.68000000000006,550,1065
392.72,551,1069
392.76,552,1071
392.79999999999995,553,1072
392.8399999999999,554,1074
392.8799999999999,555,1075
392.91999999999985,556,1076
392.9599999999998,557,1077
392.9999999999998,557,1078
393.03999999999974,557,1078
393.08000000000015,558,1081
393.1200000000001,559,1084
393.1600000000001,559,1085
393.20000000000005,559,1086
393.24,558,1086
393.28,559,1086
393.31999999999994,559,1087
393.3599999999999,559,1086
393.39999999999986,559,1087
393.4399999999998,560,1087
393.4799999999998,560,1087
393.51999999999975,561,1088
393.5600000000002,562,1088
393.60000000000014,563,1089
393.6400000000001,564,1090
393.68000000000006,564,1090
393.72,564,1090
393.76,565,1091
393.79999999999995,566,1092
393.8399999999999,566,1092
393.8799999999999,568,1093
393.91999999999985,570,1095
393.9599999999998,573,1096
393.9999999999998,576,1097
394.03999999999974,578,1098
394.08000000000015,579,1100
394.1200000000001,581,1103
394.1600000000001,582,1104
394.20000000000005,581,1104
394.24,581,1104
394.28,582,1105
394.31999999999994,584,1105
394.3599999999999,586,1104
394.39999999999986,589,1103
394.4399999999998,590,1103
394.4799999999998,590,1103
394.51999999999975,590,1104
394.5600000000002,590,1104
394.60000000000014,590,1105
394.6400000000001,591,1105
394.68000000000006,591,1105
394.72,591,1105
394.76,590,1105
394.79999999999995,591,1105
394.8399999999999,591,1106
394.8799999999999,592,1105
394.91999999999985,592,1105
394.9599999999998,592,1106
394.9999999999998,594,1108
395.03999999999974,594,1110
395.08000000000015,596,1113
395.1200000000001,598,1117
395.1600000000001,600,1121
395.20000000000005,601,1126
395.24,603,1133
395.28,603,1134
395.31999999999994,603,1133
395.3599999999999,604,1133
395.39999999999986,604,1133
395.4399999999998,603,1132
395.4799999999998,603,1132
395.51999999999975,603,1132
395.5600000000002,603,1133
395.60000000000014,603,1134
395.6400000000001,603,1134
395.68000000000006,604,1135
395.72,604,1135
395.76,604,1135
395.79999999999995,605,1136
395.8399999999999,607,1137
395.8799999999999,609,1137
395.91999999999985,613,1138
395.9599999999998,617,1138
395.9999999999998,620,1139
396.03999999999974,622,1141
396.08000000000015,623,1142
396.1200000000001,623,1142
396.1600000000001,625,1143
396.20000000000005,627,1143
396.24,627,1143
396.28,628,1143
396.31999999999994,628,1143
396.3599999999999,628,1144
396.39999999999986,628,1145
396.4399999999998,628,1145
396.4799999999998,628,1146
396.51999999999975,628,1147
396.5600000000002,628,1146
396.60000000000014,628,1146
396.6400000000001,629,1146
396.68000000000006,628,1145
396.72,629,1145
396.76,629,1145
396.79999999999995,629,1146
396.8399999999999,630,1148
396.8799999999999,631,1150
396.91999999999985,634,1154
396.9599999999998,635,1155
396.9999999999998,636,1155
397.03999999999974,638,1155
397.08000000000015,639,1155
397.1200000000001,642,1155
397.1600000000001,643,1154
397.20000000000005,645,1153
397.24,646,1152
397.28,649,1153
397.31999999999994,650,1153
397.3599999999999,652,1154
397.39999999999986,655,1157
397.4399999999998,660,1162
397.4799999999998,665,1166
397.51999999999975,667,1168
397.5600000000002,668,1169
397.60000000000014,668,1169
397.6400000000001,669,1170
397.68000000000006,669,1170
397.72,670,1170
397.76,669,1169
397.79999999999995,668,1168
397.8399999999999,668,1169
397.8799999999999,668,1169
397.91999999999985,668,1168
397.9599999999998,668,1169
397.9999999999998,669,1169
398.03999999999974,669,1169
398.08000000000015,670,1169
398.1200000000001,670,1169
398.1600000000001,671,1169
398.20000000000005,671,1169
398.24,671,1169
398.28,671,1169
398.31999999999994,672,1169
398.3599999999999,673,1169
398.39999999999986,675,1169
398.4399999999998,679,1171
398.4799999999998,680,1172
398.51999999999975,682,1175
398.5600000000002,683,1177
398.60000000000014,683,1178
398.6400000000001,684,1179
398.68000000000006,686,1182
398.72,687,1185
398.76,688,1188
398.79999999999995,689,1191
398.8399999999999,691,1194
398.8799999999999,693,1195
398.91999999999985,695,1198
398.9599999999998,699,1200
398.9999999999998,703,1200
399.03999999999974,705,1201
399.08000000000015,706,1202
399.1200000000001,707,1204
399.1600000000001,707,1204
399.20000000000005,707,1204
399.24,708,1205
399.28,709,1207
399.31999999999994,710,1208
399.3599999999999,711,1210
399.39999999999986,712,1211
399.4399999999998,713,1212
399.4799999999998,714,1213
399.51999999999975,714,1213
399.5600000000002,716,1214
399.60000000000014,717,1216
399.6400000000001,718,1219
399.68000000000006,720,1221
399.72,721,1223
399.76,723,1225
399.79999999999995,723,1225
399.8399999999999,724,1226
399.8799999999999,725,1227
399.91999999999985,726,1228
399.9599999999998,726,1230
399.9999999999998,726,1231
400.03999999999974,726,1232
400.08000000000015,726,1233
400.1200000000001,726,1236
400.1600000000001,726,1237
400.20000000000005,727,1239
400.24,728,1241
400.28,730,1242
400.31999999999994,732,1243
400.3599999999999,734,1244
400.39999999999986,736,1245
400.4399999999998,738,1246
400.4799999999998,738,1247
400.51999999999975,738,1249
400.5600000000002,739,1251
400.60000000000014,739,1253
400.6400000000001,741,1255
400.68000000000006,741,1255
400.72,741,1257
400.76,743,1259
400.79999999999995,744,1261
400.8399999999999,745,1263
400.8799999999999,745,1265
400.91999999999985,747,1269
400.9599999999998,749,1271
400.9999999999998,751,1274
401.03999999999974,753,1276
401.08000000000015,754,1277
401.1200000000001,755,1278
401.1600000000001,756,1280
401.20000000000005,756,1281
401.24,756,1283
401.28,757,1284
401.31999999999994,758,1285
401.3599999999999,758,1286
401.39999999999986,758,1287
401.4399999999998,759,1288
401.4799999999998,760,1289
401.51999999999975,760,1290
401.5600000000002,761,1291
401.60000000000014,761,1291
401.6400000000001,761,1291
401.68000000000006,762,1292
401.72,763,1295
401.76,765,1299
401.79999999999995,767,1305
401.8399999999999,770,1308
401.8799999999999,772,1309
401.91999999999985,774,1310
401.9599999999998,774,1310
401.9999999999998,774,1311
402.03999999999974,775,1311
402.08000000000015,776,1312
402.1200000000001,776,1312
402.1600000000001,776,1313
402.20000000000005,776,1312
402.24,776,1313
402.28,776,1313
402.31999999999994,777,1314
402.3599999999999,777,1315
402.39999999999986,776,1314
402.4399999999998,777,1315
402.4799999999998,777,1317
402.51999999999975,777,1317
402.5600000000002,778,1318
402.60000000000014,778,1318
402.6400000000001,779,1319
402.68000000000006,780,1320
402.72,781,1320
402.76,784,1322
402.79999999999995,786,1326
402.8399999999999,785,1329
402.8799999999999,785,1331
402.91999999999985,786,1332
402.9599999999998,787,1334
402.9999999999998,787,1335
